,Area,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
297,0.25,0.0,36.0,36.0,36.0
298,0.25,0.0,35.0,35.0,35.0
299,0.25,0.0,39.0,39.0,39.0
300,0.25,0.0,39.0,39.0,39.0
301,0.5,0.0,35.0,38.0,41.0
302,202.75,157.69900782009827,35.0,75.37854500616523,157.0
303,0.5,0.0,39.0,40.0,41.0
304,0.5,0.0,35.0,38.5,42.0
305,0.25,0.0,37.0,37.0,37.0
306,0.25,0.0,42.0,42.0,42.0
307,0.25,0.0,35.0,35.0,35.0
308,0.25,0.0,51.0,51.0,51.0
309,0.25,0.0,36.0,36.0,36.0
310,0.5,0.0,38.0,39.0,40.0
311,0.25,0.0,39.0,39.0,39.0
312,48.0,70.3700576850888,35.0,42.65625,63.0
313,0.25,0.0,38.0,38.0,38.0
314,0.5,0.0,37.0,38.5,40.0
315,0.5,0.0,35.0,36.0,37.0
316,0.25,0.0,37.0,37.0,37.0
317,0.25,0.0,37.0,37.0,37.0
318,0.25,0.0,35.0,35.0,35.0
319,0.25,0.0,35.0,35.0,35.0
320,0.75,0.5,36.0,39.0,45.0
321,0.25,0.0,45.0,45.0,45.0
322,1.0,1.7071067811865475,36.0,37.0,38.0
323,0.25,0.0,38.0,38.0,38.0
324,0.25,0.0,38.0,38.0,38.0
325,0.25,0.0,36.0,36.0,36.0
326,0.25,0.0,37.0,37.0,37.0
327,0.5,0.0,40.0,40.5,41.0
328,0.5,0.0,36.0,38.0,40.0
329,0.25,0.0,35.0,35.0,35.0
330,0.25,0.0,35.0,35.0,35.0
331,0.25,0.0,37.0,37.0,37.0
332,0.25,0.0,35.0,35.0,35.0
333,0.25,0.0,35.0,35.0,35.0
334,160.0,212.92388155425115,35.0,44.9703125,72.0
335,0.25,0.0,35.0,35.0,35.0
336,0.25,0.0,36.0,36.0,36.0
337,0.25,0.0,37.0,37.0,37.0
338,0.25,0.0,36.0,36.0,36.0
339,0.25,0.0,38.0,38.0,38.0
340,0.25,0.0,37.0,37.0,37.0
341,0.25,0.0,35.0,35.0,35.0
342,0.25,0.0,38.0,38.0,38.0
343,0.75,1.7071067811865475,36.0,38.0,42.0
344,0.25,0.0,35.0,35.0,35.0
345,0.25,0.0,36.0,36.0,36.0
346,0.25,0.0,39.0,39.0,39.0
347,2.75,3.7248737341529163,36.0,40.36363636363637,49.0
348,0.25,0.0,36.0,36.0,36.0
349,0.5,0.0,42.0,43.5,45.0
350,0.25,0.0,36.0,36.0,36.0
351,0.25,0.0,35.0,35.0,35.0
352,0.25,0.0,39.0,39.0,39.0
353,0.25,0.0,36.0,36.0,36.0
354,0.5,0.0,36.0,37.0,38.0
355,0.75,1.7071067811865475,35.0,40.333333333333336,44.0
356,0.5,0.0,39.0,40.5,42.0
357,0.5,0.0,35.0,40.0,45.0
358,0.25,0.0,36.0,36.0,36.0
359,0.25,0.0,37.0,37.0,37.0
360,0.25,0.0,41.0,41.0,41.0
361,211.0,133.93555185280766,35.0,79.3388625592417,156.0
362,2.5,4.517766952966369,35.0,35.8,39.0
363,0.25,0.0,35.0,35.0,35.0
364,0.25,0.0,36.0,36.0,36.0
365,0.5,0.0,36.0,38.5,41.0
366,0.25,0.0,36.0,36.0,36.0
367,0.25,0.0,38.0,38.0,38.0
368,0.25,0.0,35.0,35.0,35.0
369,0.5,0.0,35.0,39.0,43.0
370,138.0,114.43250352560273,35.0,61.219202898550726,111.0
371,0.25,0.0,35.0,35.0,35.0
372,0.25,0.0,35.0,35.0,35.0
373,185.0,122.8319984622144,35.0,74.53243243243243,115.0
374,0.75,0.6035533905932737,35.0,35.666666666666664,36.0
375,142.75,121.4502704785691,35.0,64.44658493870404,148.0
376,0.5,0.0,35.0,36.5,38.0
377,0.5,0.0,36.0,37.0,38.0
378,161.0,111.22539674441617,35.0,72.80434782608695,156.0
379,2.75,4.121320343559643,35.0,39.09090909090909,47.0
380,2.25,2.414213562373095,35.0,38.55555555555556,43.0
381,351.0,283.85638507985396,35.0,57.73575498575499,110.0
382,0.5,0.0,40.0,41.0,42.0
383,0.25,0.0,35.0,35.0,35.0
384,0.25,0.0,38.0,38.0,38.0
385,0.5,0.0,35.0,36.0,37.0
386,389.75,234.16094859722386,35.0,81.27196921103271,157.0
387,7.25,12.931980515339463,35.0,37.96551724137931,41.0
388,1.0,2.2071067811865475,35.0,37.0,38.0
389,0.5,0.0,35.0,36.0,37.0
390,0.25,0.0,35.0,35.0,35.0
391,1.0,1.3106601717798214,36.0,39.25,43.0
392,0.25,0.0,35.0,35.0,35.0
393,0.25,0.0,36.0,36.0,36.0
394,0.25,0.0,36.0,36.0,36.0
395,0.25,0.0,41.0,41.0,41.0
396,0.25,0.0,46.0,46.0,46.0
397,0.25,0.0,37.0,37.0,37.0
398,0.25,0.0,36.0,36.0,36.0
399,0.25,0.0,37.0,37.0,37.0
400,0.25,0.0,36.0,36.0,36.0
401,0.75,1.7071067811865475,38.0,40.0,43.0
402,0.25,0.0,35.0,35.0,35.0
403,0.25,0.0,44.0,44.0,44.0
404,0.75,0.6035533905932737,39.0,40.333333333333336,43.0
405,0.25,0.0,36.0,36.0,36.0
406,0.5,0.0,35.0,35.5,36.0
407,0.25,0.0,35.0,35.0,35.0
408,0.25,0.0,37.0,37.0,37.0
409,0.25,0.0,35.0,35.0,35.0
410,0.25,0.0,35.0,35.0,35.0
411,0.25,0.0,37.0,37.0,37.0
412,0.25,0.0,35.0,35.0,35.0
413,0.25,0.0,36.0,36.0,36.0
414,0.25,0.0,38.0,38.0,38.0
415,1.0,2.2071067811865475,36.0,38.0,40.0
416,0.25,0.0,38.0,38.0,38.0
417,0.25,0.0,35.0,35.0,35.0
418,0.25,0.0,40.0,40.0,40.0
419,0.25,0.0,37.0,37.0,37.0
420,0.25,0.0,37.0,37.0,37.0
421,0.25,0.0,35.0,35.0,35.0
422,0.25,0.0,51.0,51.0,51.0
423,0.25,0.0,38.0,38.0,38.0
424,0.25,0.0,35.0,35.0,35.0
425,138.5,125.3319984622144,35.0,58.207581227436826,106.0
426,0.25,0.0,39.0,39.0,39.0
427,0.25,0.0,35.0,35.0,35.0
428,1810.75,915.1701833132133,35.0,68.57821344746652,154.0
429,88.0,123.92945519839779,35.0,45.17613636363637,64.0
430,42.0,62.48832970144351,35.0,41.20238095238095,55.0
431,122.75,116.12184335382291,35.0,57.60488798370672,107.0
432,0.25,0.0,37.0,37.0,37.0
433,0.25,0.0,35.0,35.0,35.0
434,152.25,146.61017305526642,35.0,56.58456486042693,102.0
435,0.25,0.0,42.0,42.0,42.0
436,0.25,0.0,37.0,37.0,37.0
437,0.25,0.0,35.0,35.0,35.0
438,0.25,0.0,41.0,41.0,41.0
439,0.25,0.0,45.0,45.0,45.0
440,0.25,0.0,36.0,36.0,36.0
441,0.25,0.0,40.0,40.0,40.0
442,0.25,0.0,36.0,36.0,36.0
443,432.75,242.83252147247768,35.0,83.36395147313692,193.0
444,0.5,0.0,40.0,41.0,42.0
445,0.25,0.0,36.0,36.0,36.0
446,0.75,0.6035533905932737,36.0,37.0,38.0
447,0.5,0.0,43.0,43.0,43.0
448,104.0,102.93250352560273,35.0,53.53125,117.0
449,0.25,0.0,38.0,38.0,38.0
450,0.25,0.0,37.0,37.0,37.0
451,231.25,166.71677477306463,35.0,77.59027027027027,155.0
452,0.25,0.0,36.0,36.0,36.0
453,0.25,0.0,39.0,39.0,39.0
454,0.25,0.0,41.0,41.0,41.0
455,0.25,0.0,36.0,36.0,36.0
456,0.5,0.0,37.0,39.0,41.0
457,0.25,0.0,40.0,40.0,40.0
458,0.25,0.0,35.0,35.0,35.0
459,1.5,2.603553390593274,37.0,42.166666666666664,47.0
460,0.25,0.0,38.0,38.0,38.0
461,168.0,100.11879502661797,35.0,74.1547619047619,112.0
462,0.25,0.0,40.0,40.0,40.0
463,0.25,0.0,35.0,35.0,35.0
464,0.25,0.0,37.0,37.0,37.0
